"id","en","es","ru"
"Alright, FINE! Here is some text
flying in the air in the middle of nothing.
Are you happy now? You made me go all this way to write it
instead of adding cool new weapons and shit.
SHAME ON YOU! SHAME!a","Alright, FINE! Here is some text
flying in the air in the middle of nothing.
Are you happy now? You made me go all this way to write it
instead of adding cool new weapons and shit.
SHAME ON YOU! SHAME!a","Muy bien, ¡BIEN! Aquí hay un texto
volando en el aire en medio de la nada.
¿Estás feliz ahora? Me hiciste llegar hasta aquí para escribirlo
en lugar de agregar nuevas armas geniales y esas cosas.
¡Qué vergüenza! ¡VERGÜENZA!","Хорошо, ХОРОШО! Вот какой-то текст
летает в воздухе посреди ничего.
Теперь ты счастлив? Вы заставили меня пройти весь этот путь, чтобы написать это
вместо того, чтобы добавлять новое крутое оружие и прочее.
ПОЗОР ВАМ! ПОЗОР!а"
"Always block the most
obvious path.
Don't use the same direction twice.
Move forward, backward,
left, right, up and down.
Don't be repetitive!
","Always block the most
obvious path.
Don't use the same direction twice.
Move forward, backward,
left, right, up and down.
Don't be repetitive!
","Bloquea siempre el camino más
obvio.
No uses la misma dirección dos veces.
Avanzar, retroceder,
izquierda, derecha, arriba y abajo.
¡No seas repetitivo!","Всегда блокируйте наиболее
очевидный путь.
Не используйте одно и то же направление дважды.
Двигайтесь вперед, назад,
влево, вправо, вверх и вниз.
Не повторяйтесь!"
"Ambient Occlusion (SSAO)","Ambient Occlusion (SSAO)","Oclusión ambiental (SSAO)","Окружающая окклюзия (SSAO)"
"Ambient Volume","Ambient Volume","Volumen ambiental","Громкость окружения"
"Anisotropy","Anisotropy","Anisotropía","Анизотропия"
"Another little LD spiral.
There can be spirals
 within spirals or loops, etc.","Another little LD spiral.
There can be spirals
 within spirals or loops, etc.","Otra pequeña espiral de LD.
Puede haber espirales
dentro de espirales o bucles, etc.","Еще одна маленькая спираль LD.
Внутри спиралей или петель могут быть спирали
и т. д."
"Anti-Aliasing","Anti-Aliasing","Antialiasing","Сглаживание"
"Assets are made by Lucas Manzoni @luanmanz on Fiverr","Assets are made by Lucas Manzoni @luanmanz on Fiverr","Los activos están hechos por Lucas Manzoni @luanmanz en Fiverr","Ресурсы созданы Лукасом Манзони @luanmanz на Fiverr."
"Audio","Audio","Audio","Аудио"
"Auto Tune","Auto Tune","Sintonización automática","Автонастройка"
"Back","Back","Atrás","Назад"
"Back to Hell","Back to Hell","Volver al infierno","Назад в ад"
"Back to Main Menu","Back to Main Menu","Volver al menú principal","Вернуться в главное меню"
"Background Mode","Background Mode","Modo de fondo","Фоновый режим"
"Bella Bittersweet: Tunnel Vision","Bella Bittersweet: Tunnel Vision","Bella Agridulce: Visión de Túnel","Белла Биттерсвит: Туннельное видение"
"Brightness","Brightness","Brillo","Яркость"
"Button test to ensure that
it's not frustrating when
several objects are located
close to each other.","Button test to ensure that
it's not frustrating when
several objects are located
close to each other.","Prueba de botón para garantizar que
no sea frustrante cuando
varios objetos se encuentran
cerca uno del otro.","Проверьте кнопку, чтобы убедиться, что
вас не раздражает, когда
несколько объектов расположены
близко друг к другу."
"CTRL to crouch","CTRL to crouch","CTRL para agacharse","CTRL, чтобы присесть"
"CTRL to crouch.
These stairs are as smooth as a smooth jazz.
tu-tu-tu-too-too-bam-bam-PARA-PARA-PARA-PARA-BOOOM!
SMOOTH JAZZ!!!","CTRL to crouch.
These stairs are as smooth as a smooth jazz.
tu-tu-tu-too-too-bam-bam-PARA-PARA-PARA-PARA-BOOOM!
SMOOTH JAZZ!!!","CTRL para agacharte.
Estas escaleras son tan suaves como un jazz suave.
tu-tu-tu-también-bam-bam-PARA-PARA-PARA-PARA-BOOOM!
¡¡¡JAZZ SUAVE!!!","CTRL, чтобы присесть.
Эта лестница гладкая, как мягкий джаз.
ту-ту-ту-тоо-тоо-бам-бам-ПАРА-ПАРА-ПАРА-ПАРА-БУУМ!
ГЛАДКИЙ ДЖАЗ!!!"
"Cancel Crouch on Jump","Cancel Crouch on Jump","Cancelar Agacharse al saltar","Отменить приседание при прыжке"
"Chapter Name","Chapter Name","Nombre del capítulo","Название главы"
"Checkpoint","Checkpoint","Control","Контрольно-пропускной пункт"
"Click or Press Enter / Space to Start","Click or Press Enter / Space to Start","Haga clic o presione Entrar / Espacio para comenzar","Нажмите или нажмите Enter/Пробел, чтобы начать."
"Clues Color","Clues Color","Pistas Color","Цвет подсказок"
"Collisions Off","Collisions Off","Colisiones desactivadas","Столкновения выключены"
"Colorblind Mode","Colorblind Mode","Modo daltónico","Режим дальтонизма"
"Consulted by Sweet Baby Inc","Consulted by Sweet Baby Inc","Consultado por Sweet Baby Inc.","Консультации Sweet Baby Inc."
"Continue","Continue","Continuar","Продолжить"
"Contrast","Contrast","Contraste","Контраст"
"Controls","Controls","Controles","Элементы управления"
"Controls / Input","Controls / Input","Controles / Entrada","Элементы управления/Ввод"
"Cover Color","Cover Color","Color de la cubierta","Цвет крышки"
"Cross-Universal Mail Service's (the company Bella worked for) mascot named
Hugh G. Pecker III.
Their motto: We Always Come Fast!","Cross-Universal Mail Service's (the company Bella worked for) mascot named
Hugh G. Pecker III.
Their motto: We Always Come Fast!","La mascota de Cross-Universal Mail Service (la empresa para la que trabajaba Bella) se llama
Hugh G. Pecker III.
Su lema: ¡Siempre llegamos rápido!","Талисман Cross-Universal Mail Service (компании, в которой работала Белла) по имени
Хью Г. Пеккер III.
Их девиз: Мы всегда приходим быстро!"
"Cut to pieces","Cut to pieces","Cortar en pedazos","Разрезать на куски"
"DIE!","DIE!","¡MUERE!","УМРИ!"
"DRONE is up ahead","DRONE is up ahead","DRONE está más adelante","ДРОН впереди"
"Damn it feels good to be a gangsta!
Keypad works","Damn it feels good to be a gangsta!
Keypad works","¡Maldita sea, se siente bien ser un gangsta!
El teclado funciona","Черт, как приятно быть гангстером!
Клавиатура работает"
"Debanding","Debanding","Desbandar","Дебандирование"
"Debug Mode","Debug Mode","Modo depuración","Режим отладки"
"Delete","Delete","Borrar","Удалить"
"Depth of Field","Depth of Field","Profundidad de campo","Глубина резкости"
"Difficulty","Difficulty","Dificultad","Сложность"
"Directed by Hideo Kojima","Directed by Hideo Kojima","Dirigida por Hideo Kojima","Режиссер Хидео Кодзима"
"Directed by Hideo Kojima
Written by Neil Druckmann
Co-writer - Sam Lake
Tested by Phil Fish
Hype man - Morgan Park
Aditional Photography by Rian Johnson
Consulted by Sweet Baby Inc","Directed by Hideo Kojima
Written by Neil Druckmann
Co-writer - Sam Lake
Tested by Phil Fish
Hype man - Morgan Park
Aditional Photography by Rian Johnson
Consulted by Sweet Baby Inc","Dirigida por Hideo Kojima
Escrito por Neil Druckmann
Coguionista: Sam Lake
Probado por Phil Fish
Hype man - Morgan Park
Fotografía adicional de Rian Johnson
Consultado por Sweet Baby Inc","Режиссер Хидео Кодзима
Сценарист Нил Дракманн
Соавтор сценария – Сэм Лэйк
Тестировал Фил Фиш
Хайпмен – Морган Парк
Дополнительные съемки - Райан Джонсон
Консультации - Sweet Baby Inc."
"Directional Shadow Distance","Directional Shadow Distance","Distancia de sombra direccional","Направленное расстояние тени"
"Disable Sprint FOV","Disable Sprint FOV","Deshabilitar el campo de visión de Sprint","Отключить поле зрения для спринта"
"Display Mode","Display Mode","Modo de visualización","Режим отображения"
"Distinct Speaker Colors","Distinct Speaker Colors","Colores distintos de los altavoces","Разные цвета динамиков"
"Don't be afraid to jump down
and check my Checkpoint System.
hehehe","Don't be afraid to jump down
and check my Checkpoint System.
hehehe","No tengas miedo de bajar
y ​​revisar mi sistema Checkpoint.
jejeje","Не бойтесь спрыгнуть
и проверить мою систему контрольных точек.
хехехе"
"Don't teleport just yet!
Check out my BASALT!
And HEAVY BOX!!","Don't teleport just yet!
Check out my BASALT!
And HEAVY BOX!!","¡No te teletransportes todavía!
¡Mira mi BASALTO!
¡¡Y CAJA PESADA!!","Не телепортируйтесь пока!
Взгляните на мой БАЗАЛЬТ!
И ТЯЖЕЛУЮ КОРОБКУ!!"
"Doors won't stuck!","Doors won't stuck!","¡Las puertas no se atascarán!","Двери не заклинят!"
"Dynamic Light Shadows","Dynamic Light Shadows","Sombras de luz dinámicas","Динамические световые тени"
"ENTER","ENTER","INGRESAR","ВХОДИТЬ"
"Effects from Le Lu","Effects from Le Lu","Efectos de Le Lu","Эффекты от Ле Лу"
"Enable Headbob","Enable Headbob","Activar balanceo de cámara","Включить качание головы"
"Enable Item Prompts","Enable Item Prompts","Activar avisos de objetos","Включить подсказки предметов"
"Enable Subtitles","Enable Subtitles","Habilitar subtítulos","Включить субтитры"
"Enable Tutorials","Enable Tutorials","Activar tutoriales","Включить обучение"
"Enemies Color","Enemies Color","Color de los enemigos","Цвет врагов"
"Evil goons","Evil goons","matones malvados","Злые головорезы"
"Exit","Exit","Salir","Выход"
"Exposure","Exposure","Exposición","Контакт"
"FAV","FAV","FAVORITO","ЛЮБИМОЕ"
"FSR Mode","FSR Mode","Modo FSR","Режим FSR"
"Field of View","Field of View","Campo de visión","Поле зрения"
"Film Grain","Film Grain","Grano de película","Пленка Зерно"
"Fog","Fog","Niebla","Туман"
"Font","Font","Fuente","Шрифт"
"Font Scale","Font Scale","Escala de fuente","Масштаб шрифта"
"Friends Color","Friends Color","Color de amigos","Цвет друзей"
"Fullbright Off","Fullbright Off","Brillo total desactivado","Фулбрайт выключен"
"Gameplay","Gameplay","Jugabilidad","Геймплей"
"Gamma","Gamma","Gama","Гамма"
"Global Illumination","Global Illumination","Iluminación global","Глобальное освещение"
"Glow","Glow","Brillo","Свечение"
"Graphics","Graphics","Gráficos","Графика"
"Graphics / Video","Graphics / Video","Gráficos / Vídeo","Графика/Видео"
"HALL OF FAME
---
Igor Demchuk (New Game+) - moral support, playtesting and ideas
-
AntikranStudio - useful advice and links
Sergei Grach - improved NOCLIP
-
Crux The Clown - psychological help
The Blair Witch - she's just funny
Sam Hyde - asked for Balatro UI
-
Mikhail Kadikov - useful advice","HALL OF FAME
---
Igor Demchuk (New Game+) - moral support, playtesting and ideas
-
AntikranStudio - useful advice and links
Sergei Grach - improved NOCLIP
-
Crux The Clown - psychological help
The Blair Witch - she's just funny
Sam Hyde - asked for Balatro UI
-
Mikhail Kadikov - useful advice","HALL OF FAME
---
Igor Demchuk (Nuevo juego+) - apoyo moral, pruebas de juego e ideas
-
AntikranStudio - enlaces y consejos útiles
Sergei Grach - NOCLIP mejorado
-
Crux The Clown - ayuda psicológica
The Blair Witch - es simplemente divertida
Sam Hyde - preguntó por la interfaz de usuario de Balatro
-
Mikhail Kadikov - consejo útil","ЗАЛ СЛАВЫ
---
Игорь Демчук (Новая игра+) - моральная поддержка, игровое тестирование и идеи
-
AntikranStudio - полезные советы и ссылки
Сергей Грач - улучшенный NOCLIP
-
Crux The Clown - психологическая помощь
Ведьма из Блер - она просто смешная
Сэм Хайд - попросил интерфейс из Balatro
-
Михаил Кадиков - дал много полезных советов"
"Haro, every-nyan. You now a bird.
Fine, tank u.","Haro, every-nyan. You now a bird.
Fine, tank u.","Haro, cada nyan. Ahora eres un pájaro.
Bien, tanque.","Харо, все-ня. Ты теперь птица.
Ладно, забирай тебя."
"Heavy box test","Heavy box test","Prueba de caja pesada","Тест «Тяжелый ящик»"
"Hide UI","Hide UI","Ocultar interfaz de usuario","Скрыть пользовательский интерфейс"
"High Contrast","High Contrast","Alto contraste","Высокая контрастность"
"I almost roped myself
while trying to make it work.
It still doesn't work well enough","I almost roped myself
while trying to make it work.
It still doesn't work well enough","Casi me ato
mientras intentaba hacerlo funcionar.
Todavía no funciona lo suficientemente bien","Я чуть не связал себя веревкой
, пытаясь заставить это работать.
Это по-прежнему работает недостаточно хорошо"
"I really like this place from Anti-Citizen One.
 It captivates me.
That's why the roof of this museum is done similarly.
This place is going to be in the beginning of the game","I really like this place from Anti-Citizen One.
 It captivates me.
That's why the roof of this museum is done similarly.
This place is going to be in the beginning of the game","Realmente me gusta este lugar de Anti-Citizen One.
Me cautiva.
Por eso el techo de este museo está hecho de manera similar.
Este lugar estará al comienzo del juego.","Мне очень нравится это место из Антигражданина Один.
Это меня очаровывает.
Поэтому крыша этого музея сделана аналогично.
Это место будет в начале игры."
"I'm Tarzan!","I'm Tarzan!","¡Soy Tarzán!","Я Тарзан!"
"I'm thinking of adding an upgrade system for my Bella.
One of them will be here. Maybe.
What kind of upgrades?
Health, John Wick reloading animations, Doom Guy punches.
Your ideas are welcomed.
You'd be able to refuse all those upgrades if you want.
More optional exploration is needed anyway.","I'm thinking of adding an upgrade system for my Bella.
One of them will be here. Maybe.
What kind of upgrades?
Health, John Wick reloading animations, Doom Guy punches.
Your ideas are welcomed.
You'd be able to refuse all those upgrades if you want.
More optional exploration is needed anyway.","Estoy pensando en agregar un sistema de actualización para mi Bella.
Uno de ellos estará aquí. Tal vez.
¿Qué tipo de actualizaciones?
Salud, animaciones de recarga de John Wick, golpes de Doom Guy.
Tus ideas son bienvenidas.
Podrás rechazar todas esas actualizaciones si así lo deseas.
De todos modos, se necesita más exploración opcional.","Я подумываю добавить систему апгрейдов для моей Беллы.
Один из них будет здесь. Может быть.
Какие обновления?
Здоровье, анимация перезарядки Джона Уика, удары Дум-Гая.
Приветствуются ваши идеи.
При желании вы можете отказаться от всех этих обновлений.
В любом случае необходимы дополнительные дополнительные исследования."
"If the mountain will not come to Mohammed,
then Mohammed must go to the mountain.","If the mountain does not come to Mohammed,
then Mohammed goes to the mountain.","Si la montaña no viene a Mahoma,
entonces Mahoma debe ir a la montaña.","Если гора не идет к Магомеду,
тогда Магомед идет к горе."
"Imp - one of the enemies.","Imp - one of the enemies.","Diablillo - uno de los enemigos.","Бес - один из врагов."
"Infinite Swim","Infinite Swim","Natación infinita","Бесконечное плавание"
"Interactables Color","Interactables Color","Color de los interactuables","Интерактивные предметы Цвет"
"Invert Y","Invert Y","Invertir Y","Инвертировать Y"
"Jesus tap dancing Christ! The honeymoon period is over.
This is where the pain begins.
Nothing works no more!
Who called it ""Vibe Coding""? There are no vibes here. Only misery.","Jesus tap dancing Christ! The honeymoon period is over.
This is where the pain begins.
Nothing works no more!
Who called it ""Vibe Coding""? There are no vibes here. Only misery.","¡Jesús claqué Cristo! El período de luna de miel ha terminado.
Aquí es donde comienza el dolor.
¡Ya nada funciona!
¿Quién lo llamó ""Vibe Coding""? Aquí no hay vibraciones. Sólo miseria.","Иисус, танцующий чечётку, Христос! Период медового месяца закончился.
Вот здесь и начинается боль.
Больше ничего не работает!
Кто назвал это «Vibe Coding»? Здесь нет никаких вибраций. Только несчастье."
"Jump keep moving forward.
The door will open","Jump keep moving forward.
The door will open","Salta y sigue adelante.
La puerta se abrirá","Прыгайте, продолжайте двигаться вперед.
Дверь откроется"
"Just a simple dev arrow that points nowhere.
DO NOT GO THERE!","Just a simple dev arrow that points nowhere.
DO NOT GO THERE!","Sólo una simple flecha de desarrollo que no apunta a ninguna parte.
¡NO VAYAS ALLÍ!","Просто простая стрелка разработчика, которая никуда не указывает.
НЕ ХОДИТЕ СЮДА!"
"LD trick SPIRAL
START and FINISH are located
 nearby but you have to
travel a lot in order to get
from point A to B.
Without using noclip, find out how much time it takes to
overcome these 2cm
(or whatever it is in your kangaroo imperial system ya filthy animals!!!)
 of wall.
*
One of the coolest LD tricks I found. Hopefully you'll like it, too.","LD trick SPIRAL
START and FINISH are located
 nearby but you have to
travel a lot in order to get
from point A to B.
Without using noclip, find out how much time it takes to
overcome these 2cm
(or whatever it is in your kangaroo imperial system ya filthy animals!!!)
 of wall.
*
One of the coolest LD tricks I found. Hopefully you'll like it, too.","Truco LD SPIRAL
START y FINISH se encuentran
cerca, pero tienes que
viajar mucho para llegar
del punto A al B.
Sin usar noclip, descubre cuánto tiempo lleva
superar estos
de 2 cm (o lo que sea que esté en tu sistema imperial canguro, sucio animales!!!)
de la pared.
*
Uno de los mejores trucos de LD que encontré. Esperemos que a ti también te guste.","Трюк LD СПИРАЛЬ
СТАРТ и ФИНИШ расположены
рядом, но вам придется
много путешествовать, чтобы добраться
из точки А в точку Б.
Не используя noclip, узнайте, сколько времени нужно, чтобы
преодолеть эти 2 см
(или что-то в вашем кенгуру, имперская система, да, грязные животные!!!)
стены.
*
Один из самых крутых трюков LD, которые я нашел. Надеюсь, вам это тоже понравится."
"Language","Language","Idioma","Язык"
"Laser Target","Laser Target","Objetivo láser","Лазерная мишень"
"Lasers and reflector","Lasers and reflector","Láseres y reflector","Лазеры и отражатель"
"Leave Feedback","Leave Feedback","Deja un comentario","Оставить отзыв"
"Little Spiral.
Small distance but long travel","Little Spiral.
Small distance but long travel","Pequeña Espiral.
Distancias cortas pero viajes largos","Маленькая спираль.
Небольшое расстояние, но долгое путешествие"
"Load
","Load
","Cargar","Загрузить"
"Load Game","Load Game","Cargar Partida","Загрузить игру"
"Load Pain","Load Pain","Dolor de carga","Нагрузка Боль"
"Master Volume","Master Volume","Volumen maestro","Основной объем"
"Matchmaking Region","Matchmaking Region","Región de emparejamiento","Регион подбора"
"Max Framerate","Max Framerate","Velocidad de fotogramas máxima","Максимальная частота кадров"
"Mesh LOD","Mesh LOD","LOD de malla","Сетка LOD"
"Metrics Off","Metrics Off","Métricas desactivadas","Метрики выключены"
"Monitor","Monitor","Monitor","Монитор"
"Monke bar","Monke bar","barra de mono","Монке бар"
"Mono Audio","Mono Audio","audio mono","Моно Аудио"
"More rain and light experiments.","More rain and light experiments.","Más experimentos de lluvia y luz.","Еще эксперименты с дождем и светом."
"Motion Blur","Motion Blur","Desenfoque de movimiento","Размытие в движении"
"Mouse Sensitivity","Mouse Sensitivity","Sensibilidad del ratón","Чувствительность мыши"
"Music Volume","Music Volume","Volumen de música","Громкость музыки"
"Mute on Focus Loss","Mute on Focus Loss","Silenciar ante pérdida de enfoque","Отключение звука при потере фокуса"
"New Game","New Game","Nueva Partida","Новая игра"
"New reference for the priestess.
Still not enough ""My daddy was a lawyer
and my mom was an phycho-analytic""
 vibes but plenty of ""royal"" overtones.","New reference for the priestess.
Still not enough ""My daddy was a lawyer
and my mom was an phycho-analytic""
 vibes but plenty of ""royal"" overtones.","Nueva referencia para la sacerdotisa.
Todavía no hay suficientes vibraciones de ""Mi papá era abogado
y ​​mi mamá era psicoanalítica""
, pero sí muchos matices ""reales"".","Новая ссылка на жрицу.
Все еще недостаточно ""Мой папа был юристом
, а моя мама была психоаналитиком""
атмосфера, но много ""королевского"" подтекста."
"No Escape","No Escape","Sin escapatoria","Нет выхода"
"No Game","No Game","No hay juego","Нет игры"
"No Going Back","No Going Back","No hay vuelta atrás","Нет пути назад"
"No Options","No Options","Sin opciones","Нет вариантов"
"No, you can't squeeze in here.
","No, you can't squeeze in here.
","No, no puedes meterte aquí.","Нет, здесь нельзя протиснуться."
"Noclip Off","Noclip Off","Sin clip desactivado","Ноклип выключен"
"Nothing here yet.
But there will be
plenty of stuff later!
I hope...","Nothing here yet.
But there will be
plenty of stuff later!
I hope...","Nada aquí todavía.
¡Pero habrá
muchas cosas más adelante!
Espero...","Здесь пока ничего.
Но позже будет
много интересного!
Надеюсь..."
"Nowhere is Safe","Nowhere is Safe","Ningún lugar es seguro","Нигде не безопасно"
"OCEAN TEST!
It does work!
Now we just need foam (done), additional
 effects (done),
and make it loop properly (it's 100% dynamic now)
+ make it work at 16.66ms (does work
 but you have to open a tab without the ocean)","OCEAN TEST!
It does work!
Now we just need foam (done), additional
 effects (done),
and make it loop properly (it's 100% dynamic now)
+ make it work at 16.66ms (does work
 but you have to open a tab without the ocean)","¡PRUEBA DEL OCÉANO!
¡Funciona!
Ahora solo necesitamos espuma (listo),
efectos adicionales (listo),
y ​​hacer que se repita correctamente (ahora es 100 % dinámico)
+ hacer que funcione a 16,66 ms (funciona
pero tienes que abrir una pestaña sin el océano)","ОКЕАНСКОЕ ИСПЫТАНИЕ!
Это работает!
Теперь нам нужна только пена (готово), дополнительные
эффекты (готово),
и заставить ее правильно зацикливаться (теперь она на 100 % динамична)
+ заставить ее работать со скоростью 16,66 мс (работает
, но вам придется открывать вкладку без океана)"
"Occlusion Culling","Occlusion Culling","Eliminación de oclusión","Отсечение окклюзии"
"Options","Options","Opciones","Настройки"
"Output Profile","Output Profile","Perfil de salida","Выходной профиль"
"PUZZLE: shoot some ropes and the gate will open.","PUZZLE: shoot some ropes and the gate will open.","PUZZLE: dispara unas cuerdas y la puerta se abrirá.","ЗАГАДКА: выстрелите в веревки, и ворота откроются."
"Performance","Performance","Actuación","Производительность"
"Photosensitivity Mode","Photosensitivity Mode","Modo de fotosensibilidad","Режим светочувствительности"
"Play","Play","Jugar","Играть"
"Positional Shadow Distance","Positional Shadow Distance","Distancia de sombra posicional","Позиционное расстояние тени"
"Press CTRL to Crouch","Press CTRL to Crouch","Presione CTRL para agacharse","Нажмите CTRL, чтобы присесть"
"Press F
to turn on flashlight
","Press F
to turn on flashlight
","Presiona F
para encender la linterna","Нажмите F
, чтобы включить фонарик"
"Press [Scan Scene Geometry] to inspect hierarchy.","Press [Scan Scene Geometry] to inspect hierarchy.","Presione [Escanear geometría de escena] para inspeccionar la jerarquía.","Нажмите [Сканировать геометрию сцены], чтобы проверить иерархию."
"Primary","Primary","Primario","Начальный"
"Procedural rain
16 layers","Procedural rain
16 layers","Lluvia procesal
16 capas","Процедурный дождь
16 слоев"
"Producers
---
Kathleen Kennedy
Anita Sarkeesian
Zoë Quinn
Kim Belair
","Producers
---
Kathleen Kennedy
Anita Sarkeesian
Zoë Quinn
Kim Belair
","Productores
---
Kathleen Kennedy
Anita Sarkeesian
Zoë Quinn
Kim Belair","Продюсеры
---
Кэтлин Кеннеди
Анита Саркисян
Зои Куинн
Ким Белэр"
"Quality Preset","Quality Preset","Preajuste de calidad","Предустановка качества"
"RESET","RESET","REINICIAR","ПЕРЕЗАГРУЗИТЬ"
"Rain using standard normal maps","Rain using standard normal maps","Lluvia usando mapas normales estándar","Дождь с использованием стандартных карт нормалей"
"Reduce Motion","Reduce Motion","Reducir el movimiento","Уменьшить движение"
"Render Diagnostics Off","Render Diagnostics Off","Renderizar diagnóstico desactivado","Диагностика рендеринга выключена"
"Renderer","Renderer","renderizador","Рендерер"
"Reset","Reset","Reiniciar","Перезагрузить"
"Reset to Defaults","Reset to Defaults","Restablecer los valores predeterminados","Сброс к настройкам по умолчанию"
"Resolution","Resolution","Resolución","Разрешение"
"Resolution Scale","Resolution Scale","Escala de resolución","Масштаб разрешения"
"Restart","Restart","Reanudar","Перезапуск"
"Restart Game","Restart Game","Reiniciar","Перезапустить игру"
"Revolver Ocelot - Revolver Ocelot
Videogames - were a mistake
Anime - not real
Bigot Sandwich - cooking!
Form - returned to
Blast - having
Gaming - TIME!
","Revolver Ocelot - Revolver Ocelot
Videogames - were a mistake
Anime - not real
Bigot Sandwich - cooking!
Form - returned to
Blast - having
Gaming - TIME!
","Revolver Ocelot - Revolver Ocelot
Videojuegos: fueron un error
Anime: no es real
Bigot Sandwich: ¡cocina!
Formulario - regresado a
Explosión - teniendo
Juegos - ¡TIEMPO!","Револьвер Оцелот - Револьвер Оцелот
Видеоигры - были ошибкой
Аниме - ненастоящее
Фанатик Сэндвич - готовим!
Форма – вернулась в
Blast – с
Игра – ВРЕМЯ!"
